TXG
ENTG
EFSC
PLUS
EQIX
ERIC
ERIE
ESPR
ETSY
EEFT
EVBG
EVOP
EXAS
EXEL
EXC
EXLS
EXPE
EXPD
EXPO
STAY
FFIV
FB
FANH
FAST
FGEN
ONEQ
FITB
FEYE
FBNC
BUSE
FCNCA
FFBC
FFIN
FHB
FIBK
FRME
FMBI
FSLR
FTCS
SKYY
FV
FTSM
HYLS
FEX
FTC
FTA
LMBS
FMB
CIBR
TDIV
QTEC
FTSL
FIXD
FCFS
FSV
FISV
FIVE
FIVN
FLEX
FLIR
FOCS
FSCT
FORM
FORTY
FTNT
FWRD
FOX
FOXA
FOXF
FELE
FRPT
FTDR
FULT
FUTU
GLPG
GLPI
GRMN
GLIBA
GDS
GMAB
GHDX
GNTX
THRM
ROCK
GIII
GILD
GBCI
GBT
BOTZ
GLNG
GBDC
GSHD
GOSS
LOPE
GSKY
GRFS
GO
GRPN
OMAB
GGAL
GH
GWPH
HEES
HLG
HALO
HLNE
HWC
HAS
HA
HDS
HCAT
HCSG
HQY
HTLD
HTLF
HELE
HLIO
HSIC
MLHR
HRTX
HMSY
HOLX
HOMB
HOPE
HZNP
TWNK
HTHT
HUBG
HBAN
HBANO
HURN
HCM
IAC
IBKC
IEP
ICFI
ICLR
ICUI
IDXX
INFO
IIVI
ILMN
IMMU
INCY
INDB
IBTX
ILPT
IOSP
INVA
INGN
INOV
NSIT
INSM
PODD
IART
INTC
IPAR
IBKR
ICPT
IDCC
IBOC
INTU
ISRG
PKW
PDP
PRFZ
PDBC
QQQ
PHO
ISBC
IONS
IOVA
IPGP
IQ
IRTC
IRDM
IRBT
IRWD
SLQD
SHY
TLT
IEI
IEF
AIA
USIG
ISTB
IXUS
IUSG
IUSV
IUSB
ESGD
ESGU
SUSL
XT
IGF
IGIB
EMB
MBB
ACWX
ACWI
AAXJ
MCHI
SCZ
IBB
SOXX
PFF
IJT
DVY
SHV
IGSB
ITRI
JJSF
JBHT
JCOM
JKHY
JACK
JRVR
JAZZ
JD
JBLU
JBSS
KALU
KRNY
KELYB
KNSL
KLAC
KRNT
KTOS
KLIC
LKFN
LRCX
LAMR
LANC
LSTR
LSCC
LAUR
LTXB
TREE
LX
LGIH
LHCG
LBRDA
LBRDK
LBTYA
LBTYB
LBTYK
LILA
LILAK
BATRA
BATRK
FWONA
FWONK
LSXMA
LSXMB
LSXMK
LGND
LECO
LFUS
LIVN
LPSN
LVGO
LKQ
LOGI
LOGM
LORL
LPLA
LK
LULU
LITE
LYFT
MTSI
MDGL
MGLN
MMYT
MANH
MANT
MKTX
MAR
MRTN
MRVL
MASI
MTCH
MTLS
MAT
MATW
MXIM
MGRC
MDSO
MEDP
MLCO
MLNX
MELI
MRCY
EBSB
MMSI
CASH
MEOH
MGEE
MCHP
MU
MSFT
MSTR
MSEX
TIGO
MIME
MRTX
MKSI
MINI
MRNA
MNTA
MOMO
MDLZ
MDB
MPWR
MNRO
MNST
MORN
MOR
COOP
MTSC
MYL
MYOK
MYGN
NDAQ
NTRA
FIZZ
NGHC
NATI
NRC
EYE
NTUS
NAVI
NBTB
NKTR
NEOG
NEO
NTAP
NTES
NFLX
NTCT
NBIX
NFE
NYMT
NWL
NMRK
NWS
NWSA
NXST
NXGN
EGOV
NICE
NMIH
NDSN
NTRS
NTRSP
NWBI
NCLH
NOVT
NVCR
NUAN
NTNX
NUVA
NVDA
NXPI
OCFC
ODP
OPI
OKTA
ODFL
ONB
OLLI
OMCL
ON
OTEX
OPRA
BIOS
ORTX
ORLY
OSIS
OTTR
PCAR
PPBI
PCRX
PACW
PLMR
PAAS
PZZA
PATK
PEGI
PDCO
PTEN
PAYX
PCTY
PYPL
CNXN
PDCE
PEGA
PTON
PENN
PBCT
PEP
PRFT
PGTI
PPC
PDD
PNFP
PLYA
PLXS
PS
POOL
BPOP
PTLA
PCH
POWI
PRAA
PRAH
PINC
PSDO
PSMT
PRIM
PFG
USMC
PRGS
PFPT
TQQQ
ZBIO
SQQQ
PSEC
PTC
PTCT
QGEN
QIWI
QRVO
QCOM
QLYS
QDEL
QRTEA
QRTEB
QTT
RCM
RARX
RDUS
RDWR
RMBS
RPD
RTLR
RAVN
ROLL
RP
RETA
RRR
RDFN
REG
REGN
RGNX
RNST
RCII
RGEN
ROIC
ROKU
ROST
RGLD
RUSHA
RUSHB
RYAAY
STBA
SBRA
SABR
SAFT
SAGE
SAIA
SAFM
SASR
SANM
SNY
SRPT
SBAC
SCHL
SGMS
SCPL
SBCF
STX
SGEN
SCWX
SEIC
SIGI
SMTC
SNH
SVC
SFBS
SHEN
SBNY
SLGN
SLAB
SIMO
SILK
SFNC
SINA
SBGI
SIRI
SKYW
SWKS
SNBR
SLM
SDC
SEDG
SONO
SSB
SBSI
ONCE
SAVE
SPLK
SFM
SPSC
SSNC
SSRM
STAA
STMP
SBLK
SBUX
STFC
STLD
SRCL
SHOO
SFIX
STNE
SSYS
STRA
SPWR
RUN
SUPN
SIVB
SVMK
SYKE
SYMC
SYNA
SYNH
SNPS
TROW
TRHC
TTWO
TLND
TNDM
TCF
AMTD
TECD
TELL
TENB
TER
TERP
TSLA
TTEK
TCBI
TXN
TXRH
TFSL
CG
CAKE
CHEF
DSGX
ENSG
GT
HAIN
KHC
MSG
MDCO
MIK
MIDD
REAL
RMR
SMPL
TSG
TTD
TLRY
TMUS
TSEM
TOWN
TSCO
TW
TCDA
TCBK
TRS
TRMB
TRIP
TRVG
TRMK
TTEC
TTMI
TPTX
ULTA
RARE
UMBF
UMPQ
QURE
UAL
UBSI
UCBI
UFCS
UTHR
UNIT
OLED
UFPI
UPWK
URBN
ECOL
VLY
VWOB
VNQI
VCIT
VGIT
VIGI
VYMI
VCLT
VGLT
VMBS
VONE
VONG
VONV
VTWO
VCSH
VTIP
VGSH
BND
BNDX
VXUS
VREX
VRNS
VEON
VCYT
VRNT
VRSN
VRSK
VBTX
VRRM
VRTX
VIA
VIAB
VSAT
VIAV
VICR
VCTR
VNOM
VIRT
VRTU
VC
VOD
WBA
WAFD
WDFC
WB
WEN
WERN
WSBC
WABC
WDC
WLTW
WSC
WING
WTFC
DGRW
WIX
WWD
WDAY
WRLD
WMGI
WSFS
WW
WYNN
XEL
XNCR
XLNX
XPER
YNDX
YMAB
YJ
YY
ZLAB
ZBRA
Z
ZG
ZION
ZGNX
ZM
ZS
ZNGA
FAX
BTG
CCF
CQP
LNG
EVV
EIM
SIM
IMO
NHC
NG
PRK
UTG
SAND          
SEB
TMP
MMM
WUBA
EGHT
AOS
AIR
AAN
ABB
ABT
ABBV
ANF
ABM
AKR
ACN
EPAC
AYI
GOLF
ADX
ADNT
ADT
ATGE
AAP
ADSW
WMS
ACM
AEG
AER
AJRD
AMG
AFL
AGCO
A
AEM
ADC
AL
APD
AYR
ALG
AGI
ALK
AIN
ALB
AA
ALC
ALEX
ALX
ARE
AQN
BABA
Y
ATI
ALLE
AGN
ALE
ADS
AWF
AB
NFJ
ALSN
ALL
ALLY
AYX
ATUS
MO
ACH
ABEV
AMCR
AEE
AMOV
AMX
AAT
ACC
AEO
AEP
AEL
AXP
AFG
AMH
AIG
AWR
AMT
AWK
COLD
AMP
ABC
AMN
APH
HKIB
AME
PLAN
AU
BUD
AXE
NLY
AM
ANTM
AON
APA
AIV
APY
APHA
ARI
APO
APLE
AIT
ATR
APTV
WTR
ARMK
ABR
MT
ARCH
ADM
AROC
ARNC
ARCO
ACA
ARD
ARES
ARGO
ANET
AHH
AWI
ARW
AJG
APAM
ABG
ASX
ASGN
ASH
AMK
ASB
AIZ
AGO
AZN
T
ATH
ATKR
ATO
ACB
ATHM
ALV
AN
AZO
AVLR
AVB
AGR
AVNS
AVTR
AVYA
AVY
AVA
AVP
AVX
EQH
AXTA
AXS
AX
AZUL
BGS
BMI
BBN
BLL
BBVA
BBD
BBDO
BCH
BSBR
BSAC
BSMX
SAN
CIB
BXS
BAC
BOH
BMO
NTB
BK
BNS
BKU
BCS
B
GOLD
BHC
BAX
BBT
BCE
BDX
BDC
BHE
BHLB
BERY
BBY
BEST
BHP
BBL
BHVN
BIO
BITA
BJ
BKH
BKI
BSM
BB
HYT
BTZ
BDJ
BTT
BSTZ
BLK
BA
BCC
BOOT
BAH
BWA
SAM
BXP
BSX
BOX
BYD
BPMP
BP
BRC
BDN
BAK
BRFS
MNRL
BFAM
BEDU
BV
EAT
BCO
BMY
BTI
BRX
BR
BKD
BAM
BBU
BIP
BEP
BRO
BC
BPL
BKE
BVN
BG
BURL
BWXT
CABO
CBT
COG
CACI
WHD
CADE
CAE
CWT
ELY
CBM
CPT
CCJ
CPB
GOOS
CM
CNI
CNQ
CP
CNNE
CAJ
CGC
CMD
COF
BXMT
CPRI
CAH
CSL
KMX
CCL
CUK
CRS
CRI
CVNA
CTLT
CAT
CBZ
CBRE
CBS
FUN
CE
CX
CVE
CNC
CNP
EBR
CCS
CTL
CDAY
CF
GIB
CRL
CHGG
CHE
CC
CHK
CPK
CVX
CHWY
CIM
CEA
LFC
CHL
SNP
ZNH
CHA
CHU
CMG
CHH
CB
CHT
CHD
CIEN
CI
XEC
CNK
CISN
CIT
C
CFG
CCC
CLH
CCO
CWEN
CLF
CLX
CLDR
NET
CMS
CNA
CNHI
CNO
CEO
CNX
KOF
KO
CCEP
CDE
CNS
UTF
RQI
RNP
CFX
CL
CLNY
CLNC
CXP
CMA
FIX
CMC
CBU
CIG
CBD
SBS
ELP
CCU
CODI
CMP
CRK
CAG
CXO
CNDT
COP
ED
STZ
CSTM
CLR
VLRS
CTB
CPA
CLB
CXW
CLGX
COR
GLW
OFC
CTVA
CZZ
COT
COTY
CUZ
CVA
CPL
CR
BAP
CS
CPG
CEQP
CRH
CCI
CCK
CUBE
CUB
CFR
CMI
CW
CWK
CVI
CVS
DHI
DAN
DHR
DRI
DAR
DVA
DCP
DECK
DE
DK
DELL
DLPH
DAL
DLX
DBI
DB
DVN
DHT
DEO
DRH
DKS
DLR
DDS
DIN
DFS
DLB
DG
D
DPZ
UFS
DCI
DSL
PLOW
DEI
DOV
DOW
RDY
DRQ
DTE
DNP
DUK
DRE
DD
DXC
DY
DT
EXP
DEA
EGP
EMN
ETN
ETV
ETW
EV
EVT
ETG
ETY
EXG
ECL
EC
EIX
EW
EE
ELAN
ESTC
EGO
ESI
LLY
ERJ
EME
EBS
EMR
ESRT
EIG
ENBL
ENB
ECA
EHC
DAVA
ENIA
ENIC
ENR
EPC
ET
ERF
ENS
E
ENLC
NPO
ETR
EPD
ENV
NVST
EVA
EOG
EPAM
EPR
EQM
EQT
EFX
EQNR
ETRN
EQC
ELS
EQR
ESE
ESNT
EPRT
ESS
EL
EURN
EB
EVR
RE
EVRG
ES
EVTC
AQUA
EXR
XOM
FNB
FN
FDS
FICO
FTCH
FSLY
FBK
FFG
FRT
FSS
FII
FDX
RACE
FG
FCAU
FNF
FIS
FAF
FBP
FCF
FHN
FR
AG
FRC
FPF
FE
FIT
FBC
FLT
FND
FLO
FLS
FLR
FMC
FMX
FL
F
FTS
FTV
FTAI
FBHS
FCPT
FNV
BEN
FI
FCX
FMS
FDP
FRO
FSK
FCN
GAB
GPS
GDI
IT
GLOG
GTES
GATX
GCP
GNRC
GD
GE
GIS
GM
GWR
GEL
G
GPC
GNW
GEO
GPRK
GGB
GTY
GIL
GKOS
GSK
GNL
GPN
GLOB
GL
GMED
GMS
GDDY
GOL
GFI
GS
GGG
EAF
GHC
GVA
GPMT
GPK
GTN
GWB
GDOT
GBX
GHG
GEF
GPI
GRUB
PAC
ASR
AVAL
TV
GSX
GSH
GES
GWRE
HRB
FUL
HAE
HAL
HBI
HASI
HOG
HMY
HSC
HIG
HE
HCA
HCP
HDB
HR
HTA
HEI
HLX
HP
HLF
HRI
HTGC
HSY
HTZ
HES
HESM
HPE
HXL
HIW
HI
HRC
HTH
HGV
HLT
HNI
HEP
HFC
HD
HMC
HON
HMN
HRL
HST
HLI
HHC
HPQ
HSBC
HNP
HUBB
HUBS
HUD
HPP
HUM
HII
HUN
HUYA
H
IAA
IAG
IBN
IDA
IEX
INFO
ITW
IMAX
IRT
IBA
INFY
ING
IR
NGVT
INGR
IPHI
NSP
INSP
IBP
INST
ITGR
I
ICE
IHG
IFS
IBM
IFF
IGT
IP
IPG
INXN
IVR
IVZ
NVTA
INVH
IQV
IRM
ICL
ITCB
ITUB
ITT
JPM
SJM
JBL
JEC
JAG
JHX
JHG
JBGS
JEF
JELD
JBT
JNJ
JCI
JLL
JNPR
KAMN
KSU
KAR
KYN
KB
KBH
KBR
K
KEM
KMPR
KMT
KW
KEN
KDP
KEY
KEYS
KRC
KMB
KIM
KMI
KGC
KEX
KL
KRG
KKR
KREF
KNX
KNL
KN
KSS
PHG
KTB
KEP
KFY
KOS
KR
KRO
KT
LB
LHX
LH
LADR
LW
LVS
LTM
LAZ
LZB
LCII
LEA
LM
LEG
LDOS
LC
LEN
LII
LEVI
LXP
LPL
USA
LBRT
LPT
LSI
LNC
LIN
LN
LINX
LAD
LYV
LTHM
RAMP
LYG
LMT
L
LPX
LOW
LTC
LYB
MTB
MDC
MHO
MAC
CLI
MIC
BMA
M
MMP
MGA
MGY
MAIN
MANU
MAN
MFC
MRO
MPC
MMI
MCS
MKL
VAC
MMC
MLM
MAS
DOOR
MTZ
MA
MTDR
MTRN
MATX
MMS
MXL
MKC
MCD
MCK
MDU
MDLA
MPW
MED
MD
MDT
MRK
MCY
MDP
MTH
MTOR
MEI
MET
MTD
MFA
MTG
MGP
MGM
MFGP
MAA
MCRN
MTX
MUFG
MFG
MBT
MC
MHK
MOH
TAP
MNR
MCO
MS
MOS
MSI
MPLX
MSA
MSM
MSCI
MSGN
MLI
MWA
MUR
MUSA
NBHC
NFG
NGG
NHI
NOV
NNN
SID
NSA
NAV
NCR
NP
NNI
NVRO
NMFC
EDU
NEWR
NRZ
NYCB
NYT
NJR
NEU
NEM
NEXA
NXRT
NEP
NEE
NGL
NLSN
NKE
NIO
NI
NOAH
NBL
NOK
NOMD
NMR
OSB
JWN
NSC
NOC
NWN
NWE
NCLH
NVS
NVO
DNOW
NRG
NUS
NUE
NS
NTR
NVG
NUV
NEA
NAC
NZF
NRK
JPC
JPS
NAD
BXMX
NVT
NVR
OXY
OII
OFG
OGE
ORI
OLN
OHI
OMC
OGS
OMF
OKE
ONE
ORCL
ORAN
IX
ORA
OSK
OR
OUT
OC
OI
ORCC
OXM
PCG
PKG
PD
PAGS
PANW
PAM
PARR
PGRE
PK
PH
PE
PSN
PAYC
PBF
PBFX
BTU
PSO
PEB
PBA
PFSI
PMT
PAG
PNR
PEN
PFGC
PKI
PRGO
PRSP
PTR
PBR
PFE
PGTI
PM
PSX
PSXP
DOC
PDM
PTY
PCI
PDI
PHK
PING
PNW
PINS
PXD
PJC
PVTL
PJT
PAA
PAGP
PLNT
PLT
PHI
PNC
PNM
PII
POL
POR
PKX
POST
PPG
PPL
PQG
PBH
PVG
PRI
PRA
PG
PGR
PLD
PRO
PBY
PB
PRLB
PFS
PRU
PUK
PSB
TLK
PEG
PSA
PHM
PSTG
QTWO
QGEN
QTS
KWR
PWR
QD
DGX
RDN
RL
RJF
RYN
RTN
RMAX
RLGY
O
RWT
RBC
RF
RGA
RS
RELX
RNR
RSG
REZI
RMD
QSR
RPAI
REV
RVLV
REXR
RXN
RH
RNG
RIO
RBA
RLI
RLJ
RHI
ROK
RCI
ROG
ROL
ROP
RY
RBS
RCL
RVT
RPM
RPT
R
RHP
SPGI
SAFE
SAIL
CRM
SBH
SC
SAP
SSL
BFS
SLB
SNDR
SWM
SAIC
STNG
SMG
SE
SEE
SSW
SEAS
SEM
SEMG
SRE
ST
SXT
SRG
SCI
SERV
NOW
SHAK
SJR
SHLX
SHW
SHG
SFL
SHOP
SSTK
SBGL
SPG
SSD
SHI
SITC
SITE
SIX
SJW
SKM
SKX
SKY
SLG
WORK
SMAR
SNN
SNAP
SNA
SQM
SOGO
SWI
SAH
SON
SNE
SJI
SO
SCCO
LUV
SWX
SWN
SPB           
SR
SPR
SAVE
SRC
SPOT
S
SPXC
FLOW
SQ
JOE
STAG
SMP
SWK
STN
STWD
STT
SCS
SCL
STE
STL
SF
STM
STOR
SYK
MSC
SPH
SMFG
INN
SUM
SUI
SLF
SU
SUN
SHO
STI
SUZ
SWCH
SYF
SNX
SNV
SYY
TSM
TAK
TAL
TGE
TALO
SKT
TPR
TRGP
TGT
TARO
TTM
TCO
TMHC
TRP
TCP
TEL
FTI
TECK
TGP
GCI
TGNA
TDOC
TEO
TDY
TFX
VIV
TEF
TDS
TU
TPX
TS
TME
THC
TNC
TEN
TDC
TEX
TX
TRNO
TEVA
TPL
TXT
AES
BX
SCHW
COO
GDV
THG
MSG
TRV
TMO
TRI
THO
TIF
TSU
TKR
TJX
TOL
TR
BLD
TTC
TD
TYG
TOT
TM
TRTX
TSLX
TAC
TDG
RIG
TGS
TRU
THS
TREX
TY
TPH
TNET
TRN
TSE
TRTN
TGI
TROX
TKC
TWLO
TWTR
TWO
TYL
TSN
USB
USPH
UBER
UI
UBS
UDR
UGI
UGP
UA
UAA
UNF
UN
UL
UNP
UMC
UPS
URI
USM
X
UTX
UNH
UNVR
UVV
UHT
UHS
UNM
UE
USFD
USAC
USNA
BIF
VFC
MTN
VAL
VALE
VLO
VMI
VVV
VAR
VGR
VEDL
VEEV
VTR
VNE
VER
VZ
VET
VVI
VICI
VIPS
V
VSH
VST
VMW
VG
VNO
VOYA
VMC
WPC
WRB
GRA
GWW
WBC
WDR
WD
WMT
DIS
HCC
WRE
WCN
WM
WAT
WSO
WTS
W
WBS
WEC
WRI
WBT
WCG
WFC
WELL
WAIR
WCC
WST
WAL
WES
WU
WAB
WLK
WBK
WRK
WEX
WY
WPM
WHR
WTM
WMB
WSM
WGO
WIT
WNS
WWW
WF
WK
INT
WWE
WOR
WPP
WPX
WYND
WH
XHR
XRX
XPO
XYL
AUY
YELP
YETI
YEXT
YPF
YUMC
YUM
ZAYO
ZEN
ZBH
ZTS
ZTO
ZUO
ZYME
