ABMD
AVTR
AVY
AXTA
BLL
BBD
BAC
BK
GOLD
BHC
BAX
BBT
BCE
BDX
BERY
BBY
BHP
BIO
BKI
BLK
BA
BAH
BWA
SAM
BXP
BSX
BP
EAT
BMY
BTI
BRX
BR
BAM
BRO
BC
BPL
BURL
COG
CADE
CPB
GOOS
CNI
CP
CGC
COF
CPRI
CAH
CSL
KMX
CCL
CRI
CVNA
CAT
CBRE
CBS
CE
CNC
CNP
CTL
CF
CHK
CVX
CMG
CB
CHD
CIEN
CI
XEC
CISN
C
CFG
CLF
CLX
CMS
KO
CCEP
CFX
CL
CMA
FIX
CAG
CXO
COP
ED
STZ
CLR
CLGX
GLW
CTVA
CCI
CCK
CUBE
CMI
CVS
DHI
DHR
DRI
DVA
DECK
DE
DK
DELL
DAL
DVN
DEO
DKS
DLR
DFS
DG
D
DPZ
UFS
DOV
DOW
DTE
DUK
DRE
DD
DXC
EMN
ETN
ECL
EIX
EW
ELAN
ESTC
LLY
EMR
ENB
ECA
ET
ETR
EPD
EOG
EPAM
EQT
EFX
EQNR
ETRN
ELS
EQR
ESS
EL
EVRG
ES
EXR
XOM
FDS
FDX
FCAU
FIS
FAF
AG
FRC
FE
FLT
FMC
FMX
FL
F
FTV
FBHS
FNV
BEN
FCX
FCN
GPS
GDI
IT
GNRC
GD
GE
GIS
GM
GWR
GPC
GSK
GPN
GL
GDDY
GS
GVA
GPK
GRUB
GWRE
HRB
HAL
HBI
HOG
HIG
HCA
HCP
HDB
HTA
HP
HSY
HTZ
HES
HPE
HXL
HIW
HRC
HLT
HFC
HD
HON
HRL
HST
HPQ
HSBC
HUBS
HUM
HUN
HUYA
H
IBN
IEX
INFO
ITW
INFY
IR
IPHI
NSP
ICE
IBM
IFF
IP
IPG
INXN
IVZ
INVH
IQV
ITUB
JPM
SJM
JNJ
JCI
JNPR
KSU
KBH
K
KDP
KEY
KEYS
KRC
KMB
KIM
KMI
KGC
KEX
KL
KKR
KREF
KNX
KSS
KR
LB
LHX
LH
LW
LVS
LEA
LEG
LDOS
LEN
LII
LPT
LNC
LIN
LYV
LMT
L
LPX
LOW
LYB
MTB
M
MMP
MRO
MPC
MMC
MLM
MAS
MTZ
MA
MKC
MCD
MCK
MPW
MDT
MRK
MDP
MET
MTD
MGM
MAA
MHK
MOH
TAP
MCO
MS
MOS
MSI
MPLX
MSM
MSCI
MUR
NOV
EDU
NEWR
NRZ
NYCB
NYT
NEM
NEE
NLSN
NKE
NI
NBL
NOK
JWN
NSC
NOC
NCLH
NVS
NVO
NRG
NUE
NTR
NVR
OXY
OLN
OHI
OMC
OKE
ORCL
OSK
OC
PCG
PKG
PAGS
PANW
PK
PH
PE
PAYC
PBF
PNR
PEN
PKI
PBR
PFE
PM
PSX
PNW
PINS
PXD
PLNT
PNC
PII
PPG
PPL
PG
PGR
PLD
PRO
PRLB
PRU
PEG
PSA
PHM
QTS
PWR
DGX
RL
RJF
RTN
O
RF
RS
RSG
RMD
QSR
RH
RNG
RIO
RHI
ROK
RCI
ROP
RY
RCL
RPM
SPGI
CRM
SAP
SLB
SMG
SE
SEMG
SRE
SERV
NOW
SHAK
SHW
SHOP
SPG
SIX
SKX
SLG
WORK
SMAR
SNAP
SNA
SNE
SO
LUV
SWN
SPR
SAVE
SPOT
S
SQ
SWK
STT
STE
STM
STOR
SYK
SUI
SU
STI
SYF
SNV
SYY
TSM
TAL
TPR
TRGP
TGT
TTM
TRP
TEL
FTI
TECK
TDY
TFX
TPX
TS
TME
TEVA
TXT
AES
BX
SCHW
COO
TRV
TMO
THO
TIF
TJX
TOL
TD
TOT
TDG
RIG
TRU
TREX
TNET
TRN
TWLO
TWTR
TYL
TSN
USB
UBER
UDR
UAA
UN
UNP
UPS
URI
X
UTX
UNH
UHS
USFD
VFC
VALE
VLO
VAR
VEEV
VTR
VER
VZ
VICI
VIPS
V
VST
VMW
VNO
VOYA
VMC
WPC
WRB
GRA
GWW
WBC
WMT
DIS
WCN
WM
WAT
W
WBS
WEC
WCG
WFC
WELL
WST
WAL
WU
WAB
WRK
WEX
WY
WPM
WHR
WMB
WSM
WGO
WWE
WPX
XRX
XPO
XYL
AUY
YELP
YUMC
YUM
ZAYO
ZEN
ZBH
ZTS
